x,y
0,0.10
3,0.95
6,2.33
9,3.03
12,3.99
15,5.01
18,3.76
21,3.20
24,2.70
27,2.38
30,1.87
33,0.04
36,-0.39
39,0.15
42,1.01
45,2.62
48,4.18
51,4.51
54,5.06
57,3.88
60,2.07
63,1.53
66,0.80
69,-0.71
72,1.24
75,1.83
78,3.72
81,5.53
84,4.29
87,3.35
90,1.66
93,0.95
96,0.88
99,0.03
102,-1.44
105,-0.14
108,-0.13
111,0.18
114,2.06
117,3.21
120,4.87
123,4.99
126,6.01
129,5.43
132,3.52
135,2.99
138,2.21
141,0.95
144,-0.92
147,0.55
150,2.19
153,3.84
156,5.59
159,3.73
162,1.82
165,0.84
168,-0.85
171,0.85
174,2.73
177,3.76
180,4.24
183,5.18
186,4.58
189,3.57
192,1.71
195,-0.04
198,1.22
201,1.91
204,3.38
207,4.12
210,5.71
213,5.17
216,4.10
219,2.69
222,1.41
225,-0.40
228,0.77
231,1.86
234,3.38
237,3.72
240,5.72
243,4.34
246,2.71
249,2.28
252,1.98
255,1.21
258,1.15
261,0.28
264,0.07
267,-1.58
270,-0.89
273,0.46
276,2.41
279,3.90
282,4.93
285,6.33
288,6.00
291,5.67
294,4.45
297,3.00
300,2.35
303,0.79
306,0.67
309,0.15
312,-0.75
315,-0.67
318,-0.04
321,0.78
324,2.29
327,3.59
330,5.21
333,4.22
336,3.35
339,1.38
342,0.67
345,-1.03
348,0.81
351,1.94
354,3.73
357,4.46
360,5.54
363,4.20
366,3.36
369,2.29
372,2.28
375,0.71
378,-1.03
381,-0.12
384,0.64
387,2.04
390,2.44
393,2.52
396,2.90
399,3.26
402,3.83
405,4.03
408,4.07
411,4.83
414,5.26
417,4.93
420,3.82
423,2.07
426,0.51
429,-0.63
432,-0.28
435,1.62
438,2.98
441,4.97
444,5.62
447,5.35
450,5.16
453,3.91
456,2.61
459,2.21
462,1.31
465,0.94
468,-0.39
471,0.85
474,1.63
477,2.63
480,3.49
483,4.05
486,4.76
489,5.10
492,4.13
495,2.87
498,1.76
501,1.49
504,0.14
507,-1.62
510,-0.74
513,-0.69
516,-0.11
519,0.78
522,2.00
525,3.81
528,5.45
531,3.99
534,2.91
537,2.90
540,2.37
543,0.78
546,-0.05
549,1.19
552,1.87
555,1.87
558,2.80
561,3.85
564,5.82
567,5.08
570,3.71
573,3.56
576,2.76
579,1.50
582,0.83
585,-0.98
588,0.09
591,2.02
594,2.53
597,2.57
